"dataset_id","dataset_label","provider_ddb_id","provider_id","provider_name","provider_state","provider_sector","supplier_ddb_id","supplier_id","supplier_name","aggregator_ddb_id","aggregator_id","aggregator_name","count","ingest_id","metadata_format","ingest_complete_date"
"783b9dfd91dbe3df6f6fae058c1287a8679d92a6","00050343_full_20171012","7NZ2LE7EDVMF2LUHO7NJIUOPW2KUGZQ2","'00050343","Schloss- und Spielkartenmuseum Altenburg","Thüringen","Museum","7NZ2LE7EDVMF2LUHO7NJIUOPW2KUGZQ2","'00050343","Schloss- und Spielkartenmuseum Altenburg","","","","706","783b9dfd91dbe3df6f6fae058c1287a8679d92a6","http://www.lido-schema.org/","2018-04-14T17:11:07+0200"
"48f8210f0ee94a81a0136d1de02952c391d6de03","00009864_part_20170802","HVSPX7GJEILJH3XAWHKZQ66MSGOK6IJC","'00009864","FHXB Friedrichshain-Kreuzberg Museum","Berlin","Museum","HVSPX7GJEILJH3XAWHKZQ66MSGOK6IJC","'00009864","FHXB Friedrichshain-Kreuzberg Museum","","","","700","48f8210f0ee94a81a0136d1de02952c391d6de03","http://www.lido-schema.org/","2018-04-15T02:54:18+0200"
"9382b2e6989eff1cbce53de1c31ed30f792615b3","00000280_findbuch","MTFTYW2XC7HPCOMSKHPH26YYXCQ57UOZ","'00000280","Archiv für Christlich-Soziale Politik (ACSP) der Hanns-Seidel-Stiftung e.V.","Bayern","Archiv","MTFTYW2XC7HPCOMSKHPH26YYXCQ57UOZ","'00000280","Archiv für Christlich-Soziale Politik (ACSP) der Hanns-Seidel-Stiftung e.V.","","","","698","9382b2e6989eff1cbce53de1c31ed30f792615b3","urn:isbn:1-931666-22-9","2018-04-18T23:58:22+0200"
"ee72ac5140c818235aab10fbc1337d23df560795","00001221_tektonik","EXKTMOTPDZBL6AR7ZZC5QV754ODZFUBT","'00001221","Staatsarchiv Würzburg","Bayern","Archiv","EXKTMOTPDZBL6AR7ZZC5QV754ODZFUBT","'00001221","Staatsarchiv Würzburg","","","","680","ee72ac5140c818235aab10fbc1337d23df560795","urn:isbn:1-931666-22-9","2018-04-18T17:57:54+0200"
"3c785c55bc5e7e8a3c5560f865c79d2db6c614e4","99900898_full_20170321","D6QIKL7I23TJX25ELCJMFRFDJZEDRZSD","'99900898","Universitätsbibliothek Mainz","Rheinland-Pfalz","Bibliothek","X6VKVOM5HGHDIQX36BI3ZKWROZTN74UX","'00000463","zvdd – Zentrales Verzeichnis Digitalisierter Drucke","","","","678","3c785c55bc5e7e8a3c5560f865c79d2db6c614e4","http://www.loc.gov/METS/","2018-04-28T06:38:52+0200"
"3c785c55bc5e7e8a3c5560f865c79d2db6c614e4","99900898_full_20170321","W5ONYDCDQP3SXULOHKNIT7OBGIHGNWYO","'00000824","Johannes Gutenberg-Universität Mainz","Rheinland-Pfalz","Forschung","X6VKVOM5HGHDIQX36BI3ZKWROZTN74UX","'00000463","zvdd – Zentrales Verzeichnis Digitalisierter Drucke","","","","678","3c785c55bc5e7e8a3c5560f865c79d2db6c614e4","http://www.loc.gov/METS/","2018-04-28T06:38:52+0200"
"3c785c55bc5e7e8a3c5560f865c79d2db6c614e4","99900898_full_20170321","X6VKVOM5HGHDIQX36BI3ZKWROZTN74UX","'00000463","zvdd – Zentrales Verzeichnis Digitalisierter Drucke","Niedersachsen","Bibliothek","X6VKVOM5HGHDIQX36BI3ZKWROZTN74UX","'00000463","zvdd – Zentrales Verzeichnis Digitalisierter Drucke","","","","678","3c785c55bc5e7e8a3c5560f865c79d2db6c614e4","http://www.loc.gov/METS/","2018-04-28T06:38:52+0200"
"f756fd34199ec293beeded03607b050f3a1dabab","99900866_full_20160726","G36LOKM7FUZIFOORBVL3U77JYQAKUKZ2","'99900866","Deutsche Kinemathek - Museum für Film und Fernsehen (Mediathek)","Berlin","Mediathek","G36LOKM7FUZIFOORBVL3U77JYQAKUKZ2","'99900866","Deutsche Kinemathek - Museum für Film und Fernsehen (Mediathek)","","","","649","f756fd34199ec293beeded03607b050f3a1dabab","http://www.lido-schema.org/","2018-04-14T22:49:39+0200"
"f756fd34199ec293beeded03607b050f3a1dabab","99900866_full_20160726","ZNDMV3JGX3OTVAWIO7O5GJ5IBYCZLFN5","'00012006","Deutsche Kinemathek - Museum für Film und Fernsehen","Berlin","Museum","G36LOKM7FUZIFOORBVL3U77JYQAKUKZ2","'99900866","Deutsche Kinemathek - Museum für Film und Fernsehen (Mediathek)","","","","649","f756fd34199ec293beeded03607b050f3a1dabab","http://www.lido-schema.org/","2018-04-14T22:49:39+0200"
"4638482515852db8fefdc1bead5255d85afba0ad","oid1442322126400_full_20170710","6ABYIIACQKE5I3F7XXVL4B4WL4CGKMWO","'oid1442322126400","Institut für Theaterwissenschaft der Freien Universität Berlin, Theaterhistorische Sammlungen","Berlin","Archiv","6ABYIIACQKE5I3F7XXVL4B4WL4CGKMWO","'oid1442322126400","Institut für Theaterwissenschaft der Freien Universität Berlin, Theaterhistorische Sammlungen","","","","636","4638482515852db8fefdc1bead5255d85afba0ad","http://www.lido-schema.org/","2018-04-14T16:05:21+0200"
